epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,6147.38,0.22614,0.84715,1,0.57427,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,6213.31,0.22018,0.84899,1,0.56025,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,6273.1,0.20813,0.84715,1,0.5814,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,6333.25,0.20742,0.85267,1,0.55517,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,6401.26,0.2184,0.85175,1,0.55108,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,6470.65,0.21065,0.84991,1,0.53813,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,6537.46,0.18797,0.86372,1,0.51376,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,6606.21,0.19134,0.85543,1,0.5344,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,6666.36,0.20179,0.85175,1,0.53441,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,6728.89,0.18251,0.85912,1,0.51551,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,6786.89,0.19312,0.8628,1,0.52617,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,6851.02,0.1622,0.84991,1,0.54377,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,6920.68,0.17529,0.85267,1,0.54288,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,6983.31,0.16708,0.85451,1,0.53984,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,7044.79,0.16636,0.85175,1,0.5729,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,7108.67,0.16479,0.84807,1,0.57644,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,7166.68,0.15842,0.85635,1,0.56391,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,7224.95,0.15811,0.85635,1,0.57223,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,7283.23,0.15535,0.85543,1,0.57364,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,7341.52,0.14848,0.86188,1,0.58211,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,7399.25,0.1469,0.85635,1,0.60803,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,7456.75,0.14469,0.86096,1,0.61063,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,7514.93,0.15269,0.85543,1,0.61516,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,7573.79,0.15208,0.85912,1,0.58455,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,7632.5,0.14803,0.86556,1,0.57257,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,7699.45,0.14829,0.86464,1,0.57857,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,7766.15,0.13739,0.86464,1,0.57354,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
